,Average,Split_1,Split_2,Split_3,Split_4,Split_5,Test-Data,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.3651666666666667,0.4091666666666666,0.5416666666666667,0.10416666666666669,0.35416666666666663,0.41666666666666663,0.45859961100305646,3,two,1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,two,1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,3,two,1
