,Average,Split_1,Split_2,Split_3,Split_4,Split_5,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.916887601887602,0.9583333333333333,0.9316602316602317,0.8611111111111112,0.9027777777777777,0.9305555555555555,0.1,two,0.1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.1,two,0.1
Classical_SVM,0.9834084084084085,1.0,0.9864864864864865,0.9861111111111112,0.9722222222222222,0.9722222222222222,0.1,two,0.1
