,Average,Split_1,Split_2,Split_3,Split_4,Split_5,Test-Data,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.693,0.6316666666666667,0.75,0.8333333333333334,0.6041666666666666,0.6458333333333333,0.6089191442067241,1,two,0.1
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,1,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1,two,0.1
