,Average,Split_1,Split_2,Split_3,Split_4,Split_5,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.04999999999999999,0.0,0.1,two,0.1
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.04999999999999999,0.0,0.1,two,0.1
Classical_SVM,0.019999999999999997,0.0,0.0,0.0,0.04999999999999999,0.05,0.1,two,0.1
DRSVM_withoutSupport,0.16000000000000003,0.2,0.15,0.0,0.2,0.25,0.5,two,0.1
RegularisedSVM_withoutSupport,0.12,0.0,0.04999999999999999,0.5,0.0,0.04999999999999999,0.5,two,0.1
Classical_SVM,0.019999999999999997,0.05,0.0,0.0,0.0,0.04999999999999999,0.5,two,0.1
DRSVM_withoutSupport,0.99,0.9500000000000001,1.0,1.0,1.0,1.0,1.0,two,0.1
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,two,0.1
Classical_SVM,0.019999999999999997,0.04999999999999999,0.05,0.0,0.0,0.0,1.0,two,0.1
